Frame 0: PROPOSED ('afraid', 'bored', 'afraid') ↔ ('ängstlich', 'gelangweilt', 'ängstlich') → REJECTED
Frame 0: PROPOSED ('bright', 'excited', 'sleep') ↔ ('hell', 'aufgeregt', 'schlafen') → REJECTED
Frame 1: PROPOSED ('small', 'walk', 'near') ↔ ('klein', 'gehen', 'nahe') → REJECTED
Frame 1: PROPOSED ('calm', 'happy', 'sleep') ↔ ('ruhig', 'glücklich', 'schlafen') → REJECTED
Frame 2: PROPOSED ('door', 'build', 'near') ↔ ('Tür', 'bauen', 'nahe') → REJECTED
Frame 2: PROPOSED ('bright', 'city', 'artist') ↔ ('hell', 'Stadt', 'Künstler') → REJECTED
Frame 3: PROPOSED ('sad', 'through', 'chair') ↔ ('traurig', 'durch', 'Stuhl') → REJECTED
Frame 3: PROPOSED ('big', 'safe', 'cold') ↔ ('groß', 'sicher', 'kalt') → REJECTED
Frame 4: PROPOSED ('teacher', 'happy', 'backpack') ↔ ('Lehrer', 'glücklich', 'Rucksack') → REJECTED
Frame 4: PROPOSED ('door', 'excited', 'few') ↔ ('Tür', 'aufgeregt', 'wenige') → REJECTED
Frame 5: PROPOSED ('under', 'walk', 'boat') ↔ ('unter', 'gehen', 'Boot') → REJECTED
Frame 5: PROPOSED ('computer', 'all', 'sad') ↔ ('Computer', 'alle', 'traurig') → REJECTED
Frame 6: PROPOSED ('boat', 'table', 'all') ↔ ('Boot', 'Tisch', 'alle') → REJECTED
Frame 6: PROPOSED ('dog', 'dog', 'few') ↔ ('Hund', 'Hund', 'wenige') → REJECTED
Frame 7: PROPOSED ('fly', 'lamp', 'dark') ↔ ('fliegen', 'Lampe', 'dunkel') → REJECTED
Frame 7: PROPOSED ('river', 'table', 'tree') ↔ ('Fluss', 'Tisch', 'Baum') → REJECTED
Frame 8: PROPOSED ('slow', 'excited', 'learn') ↔ ('langsam', 'aufgeregt', 'lernen') → REJECTED
Frame 8: PROPOSED ('walk', 'warm', 'learn') ↔ ('gehen', 'warm', 'lernen') → REJECTED
Frame 9: PROPOSED ('teach', 'sleep', 'big') ↔ ('lehren', 'schlafen', 'groß') → REJECTED
Frame 9: PROPOSED ('slow', 'spoon', 'tree') ↔ ('langsam', 'Löffel', 'Baum') → REJECTED
Frame 10: PROPOSED ('walk', 'small', 'chair') ↔ ('gehen', 'klein', 'Stuhl') → REJECTED
Frame 10: PROPOSED ('fly', 'car', 'all') ↔ ('fliegen', 'Auto', 'alle') → REJECTED
Frame 11: PROPOSED ('near', 'tree', 'tree') ↔ ('nahe', 'Baum', 'Baum') → REJECTED
Frame 11: PROPOSED ('tired', 'door', 'sleep') ↔ ('müde', 'Tür', 'schlafen') → REJECTED
Frame 12: PROPOSED ('field', 'walk', 'bright') ↔ ('Feld', 'gehen', 'hell') → REJECTED
Frame 12: PROPOSED ('city', 'bright', 'few') ↔ ('Stadt', 'hell', 'wenige') → REJECTED
Frame 13: PROPOSED ('build', 'beside', 'river') ↔ ('bauen', 'neben', 'Fluss') → REJECTED
Frame 13: PROPOSED ('none', 'sleep', 'through') ↔ ('keine', 'schlafen', 'durch') → REJECTED
Frame 14: PROPOSED ('teach', 'warm', 'chair') ↔ ('lehren', 'warm', 'Stuhl') → REJECTED
Frame 14: PROPOSED ('tired', 'lamp', 'swim') ↔ ('müde', 'Lampe', 'schwimmen') → REJECTED
Frame 15: PROPOSED ('house', 'through', 'across') ↔ ('Haus', 'durch', 'über') → REJECTED
Frame 15: PROPOSED ('house', 'big', 'through') ↔ ('Haus', 'groß', 'durch') → REJECTED
Frame 16: PROPOSED ('dog', 'walk', 'car') ↔ ('Hund', 'gehen', 'Auto') → ACCEPTED
Frame 16: PROPOSED ('small', 'city', 'afraid') ↔ ('klein', 'Stadt', 'ängstlich') → REJECTED
