Frame 0: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 0: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 0: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 0: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 0: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 1: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 1: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 1: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 1: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 1: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 2: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 2: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 2: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 2: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 2: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 3: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 3: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 3: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 3: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 3: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 4: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 4: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 4: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 4: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 4: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 5: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 5: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 5: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 5: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 5: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 6: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 6: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 6: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 6: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 6: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 7: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 7: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 7: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 7: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 7: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 8: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 8: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 8: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 8: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 8: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 9: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 9: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 9: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 9: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 9: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 10: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 10: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 10: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 10: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 10: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 11: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 11: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 11: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 11: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 11: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 12: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 12: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 12: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 12: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 12: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 13: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 13: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 13: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 13: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 13: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 14: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 14: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 14: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 14: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 14: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 15: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 15: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 15: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 15: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 15: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 16: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 16: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 16: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 16: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 16: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 17: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 17: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 17: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 17: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 17: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 18: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 18: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 18: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 18: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 18: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 19: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 19: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 19: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 19: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 19: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 20: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 20: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 20: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 20: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 20: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 21: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 21: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 21: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 21: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 21: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 22: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 22: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 22: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 22: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 22: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 23: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 23: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 23: ('sun', 'shines', 'earth') → REJECTED (A↔B)
