Frame 0: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 0: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 0: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 0: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 0: ('boat', 'sails_on', 'lake') → REJECTED (A↔B)
Frame 1: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 1: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1: ('rain', 'falls_on', 'roof') → REJECTED (A↔B)
Frame 1: ('cat', 'climbs', 'tree') → REJECTED (A↔B)
Frame 1: ('child', 'jumps_over', 'log') → REJECTED (A↔B)
Frame 2: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2: ('engine', 'drives', 'vehicle') → REJECTED (A↔B)
Frame 2: ('mouse', 'hides_under', 'table') → REJECTED (A↔B)
Frame 2: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 2: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 3: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 3: ('5', 'minus', '3', 'equals', '2') → REJECTED (A↔B)
Frame 3: ('sun', 'sets_behind', 'hill') → REJECTED (A↔B)
Frame 3: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 3: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 4: ('student', 'solves', 'problem') → REJECTED (A↔B)
Frame 4: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 4: ('5', 'minus', '3', 'equals', '2') → REJECTED (A↔B)
Frame 4: ('2', 'plus', '5', 'equals', '7') → REJECTED (A↔B)
Frame 4: ('mouse', 'hides_under', 'table') → REJECTED (A↔B)
Frame 5: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 5: ('child', 'jumps_over', 'log') → REJECTED (A↔B)
Frame 5: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 5: ('horse', 'pulls', 'cart') → REJECTED (A↔B)
Frame 5: ('horse', 'pulls', 'cart') → REJECTED (A↔B)
Frame 6: ('ice', 'melts_on', 'plate') → REJECTED (A↔B)
Frame 6: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 6: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 6: ('thunder', 'echoes_through', 'mountains') → REJECTED (A↔B)
Frame 6: ('cat', 'climbs', 'tree') → REJECTED (A↔B)
Frame 7: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 7: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 7: ('computer', 'processes', 'data') → REJECTED (A↔B)
Frame 7: ('door', 'opens_to', 'room') → REJECTED (A↔B)
Frame 7: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 8: ('phone', 'rings', 'loudly') → REJECTED (A↔B)
Frame 8: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 8: ('parent', 'guides', 'child') → REJECTED (A↔B)
